Player Name,Club Name,Position,DoB(age),Nationality,Height,Dominant foot,Contract Expired,Market Value,position,age,birth_date,birth_place,birth_country,nationality,height,weight,rating,team_id,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
raheem sterling,manchester-city,Left Winger,"Dec 8, 1994 (23)",England,"1,70 m",right,30.06.2023,140.00m,Attacker,26.0,08/12/1994,Kingston,Jamaica,England,170 cm,69 kg,7.405882000000001,50.0,Premier League,2018-2019,0.0,77.0,39.0,17.0,0.0,10.0,1084.0,69.0,85.0,32.0,3.0,17.0,413.0,173.0,152.0,82.0,44.0,40.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,2777.0,31.0,3.0,9.0,7.0
bernardo silva,manchester-city,Right Winger,"Aug 10, 1994 (23)",Portugal,"1,73 m",left,30.06.2025,100.00m,Midfielder,26.0,10/08/1994,Lisboa,Portugal,Portugal,173 cm,64 kg,7.158333,50.0,Premier League,2018-2019,0.0,62.0,22.0,7.0,0.0,7.0,1469.0,72.0,85.0,52.0,3.0,25.0,318.0,136.0,88.0,49.0,24.0,31.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,2853.0,31.0,5.0,4.0,6.0
gabriel jesus,manchester-city,Centre-Forward,"Apr 3, 1997 (21)",Brazil,"1,75 m",right,30.06.2023,70.00m,Attacker,23.0,03/04/1997,Sao Paulo,Brazil,Brazil,175 cm,73 kg,6.838461,50.0,Premier League,2018-2019,0.0,43.0,25.0,7.0,0.0,3.0,294.0,21.0,76.0,10.0,2.0,3.0,164.0,65.0,38.0,22.0,18.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,1019.0,8.0,21.0,4.0,28.0
claudio bravo,manchester-city,Goalkeeper,"Apr 13, 1983 (35)",Chile,"1,84 m",right,31.07.2020,2.50m,Goalkeeper,37.0,13/04/1983,Buin,Chile,Chile,184 cm,80 kg,,50.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
john stones,manchester-city,Centre-Back,"May 28, 1994 (24)",England,"1,88 m",right,30.06.2022,60.00m,Defender,26.0,28/05/1994,Barnsley,England,England,188 cm,70 kg,7.086363,50.0,Premier League,2018-2019,0.0,5.0,1.0,0.0,0.0,0.0,1649.0,5.0,87.0,16.0,9.0,14.0,134.0,88.0,8.0,6.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1762.0,20.0,4.0,2.0,14.0
philippe sandler,manchester-city,Centre-Back,"Feb 10, 1997 (21)",Netherlands,"1,90 m",right,30.06.2022,2.50m,Defender,23.0,10/02/1997,Amsterdam,Netherlands,Netherlands,188 cm,76 kg,,50.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
oleksandr zinchenko,manchester-city,Left-Back,"Dec 15, 1996 (21)",Ukraine,"1,75 m",left,30.06.2024,20.00m,Defender,24.0,15/12/1996,Radomyshl,Ukraine,Ukraine,175 cm,64 kg,7.1,50.0,Premier League,2018-2019,0.0,7.0,1.0,0.0,0.0,3.0,1083.0,12.0,90.0,34.0,3.0,20.0,147.0,68.0,13.0,5.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1153.0,14.0,0.0,2.0,7.0
danilo,manchester-city,Right-Back,"Jul 15, 1991 (26)",Brazil,"1,84 m",right,30.06.2024,20.00m,Defender,29.0,15/07/1991,Bicas,Brazil,Brazil,184 cm,78 kg,7.122222,50.0,Premier League,2018-2019,0.0,14.0,3.0,1.0,0.0,0.0,667.0,4.0,88.0,20.0,0.0,15.0,92.0,54.0,13.0,8.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,806.0,9.0,2.0,1.0,17.0
ilkay gundogan,manchester-city,Central Midfield,"Oct 24, 1990 (27)",Germany,"1,80 m",right,30.06.2023,50.00m,Midfielder,30.0,24/10/1990,Gelsenkirchen,Germany,Germany,180 cm,80 kg,7.254838,50.0,Premier League,2018-2019,0.0,43.0,11.0,6.0,0.0,3.0,1811.0,44.0,90.0,19.0,3.0,28.0,166.0,85.0,24.0,19.0,23.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2135.0,23.0,8.0,6.0,9.0
fabian delph,manchester-city,Central Midfield,"Nov 21, 1989 (28)",England,"1,74 m",left,30.06.2020,15.00m,Midfielder,31.0,21/11/1989,Bradford,England,England,174 cm,60 kg,6.927272,50.0,Premier League,2018-2019,1.0,4.0,3.0,0.0,0.0,1.0,633.0,3.0,92.0,23.0,0.0,13.0,80.0,47.0,9.0,8.0,7.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,725.0,8.0,3.0,2.0,9.0
david silva,manchester-city,Attacking Midfield,"Jan 8, 1986 (32)",Spain,"1,70 m",left,31.07.2020,20.00m,Midfielder,34.0,08/01/1986,Arguineguin,Spain,Spain,173 cm,67 kg,7.318181,50.0,Premier League,2018-2019,15.0,51.0,20.0,6.0,0.0,8.0,1770.0,77.0,87.0,30.0,1.0,22.0,218.0,105.0,47.0,31.0,25.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2411.0,28.0,5.0,15.0,7.0
leroy sane,manchester-city,Left Winger,"Jan 11, 1996 (22)",Germany,"1,84 m",left,30.06.2021,100.00m,Attacker,24.0,11/01/1996,Essen,Germany,Germany,183 cm,75 kg,7.2064509999999995,50.0,Premier League,2018-2019,0.0,56.0,24.0,10.0,0.0,10.0,715.0,40.0,81.0,24.0,2.0,8.0,246.0,103.0,102.0,55.0,14.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,1867.0,21.0,10.0,10.0,16.0
riyad mahrez,manchester-city,Right Winger,"Feb 21, 1991 (27)",Algeria,"1,79 m",left,30.06.2023,60.00m,Attacker,29.0,21/02/1991,Sarcelles,France,Algeria,179 cm,67 kg,7.308333,50.0,Premier League,2018-2019,0.0,54.0,25.0,7.0,0.0,4.0,675.0,26.0,82.0,14.0,1.0,9.0,159.0,73.0,40.0,25.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,1339.0,14.0,13.0,9.0,23.0
sergio aguero,manchester-city,Centre-Forward,"Jun 2, 1988 (30)",Argentina,"1,73 m",right,30.06.2021,65.00m,Attacker,32.0,02/06/1988,Quilmes,Argentina,Argentina,173 cm,70 kg,7.393939,50.0,Premier League,2018-2019,2.0,118.0,43.0,21.0,0.0,8.0,654.0,35.0,83.0,17.0,1.0,9.0,230.0,104.0,73.0,45.0,25.0,21.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,2480.0,31.0,2.0,23.0,3.0
kepa,fc-chelsea,Goalkeeper,"Oct 3, 1994 (23)",Spain,"1,86 m",right,30.06.2025,60.00m,Goalkeeper,26.0,03/10/1994,Ondarroa,Spain,Spain,189 cm,84 kg,6.875,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,39.0,0.0,857.0,0.0,85.0,1.0,0.0,0.0,15.0,13.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,3240.0,36.0,0.0,0.0,2.0
andreas christensen,fc-chelsea,Centre-Back,"Apr 10, 1996 (22)",Denmark,"1,88 m",right,30.06.2022,30.00m,Defender,24.0,10/04/1996,Lillerd,Denmark,Denmark,188 cm,78 kg,6.8375,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,91.0,10.0,2.0,4.0,58.0,32.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,615.0,6.0,2.0,0.0,24.0
david luiz,fc-chelsea,Centre-Back,"Apr 22, 1987 (31)",Brazil,"1,89 m",right,30.06.2021,20.00m,Defender,33.0,22/04/1987,Diadema,Brazil,Brazil,189 cm,84 kg,7.266666000000001,49.0,Premier League,2018-2019,0.0,34.0,8.0,3.0,0.0,2.0,2306.0,20.0,86.0,41.0,18.0,35.0,284.0,162.0,17.0,10.0,29.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3239.0,36.0,0.0,1.0,2.0
gary cahill,fc-chelsea,Centre-Back,"Dec 19, 1985 (32)",England,"1,93 m",right,-,8.00m,Defender,35.0,19/12/1985,Dronfield,England,England,193 cm,86 kg,6.7,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,2.0,0.0,10.0
marcos alonso,fc-chelsea,Left-Back,"Dec 28, 1990 (27)",Spain,"1,88 m",left,30.06.2023,40.00m,Defender,30.0,28/12/1990,Madrid,Spain,Spain,188 cm,84 kg,7.064516,49.0,Premier League,2018-2019,0.0,45.0,7.0,2.0,0.0,4.0,1600.0,33.0,84.0,74.0,2.0,39.0,344.0,194.0,33.0,17.0,37.0,28.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,31.0,2761.0,31.0,0.0,2.0,1.0
davide zappacosta,fc-chelsea,Right-Back,"Jun 11, 1992 (26)",Italy,"1,82 m",right,30.06.2021,15.00m,Defender,28.0,11/06/1992,Sora,Italy,Italy,185 cm,70 kg,6.625,49.0,Premier League,2018-2019,0.0,2.0,1.0,0.0,0.0,0.0,60.0,1.0,84.0,0.0,0.0,3.0,14.0,6.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,125.0,1.0,3.0,0.0,22.0
tiemoue bakayoko,fc-chelsea,Defensive Midfield,"Aug 17, 1994 (23)",France,"1,89 m",right,30.06.2022,35.00m,Midfielder,26.0,17/08/1994,Paris,France,France,185 cm,77 kg,,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n'golo kante,fc-chelsea,Central Midfield,"Mar 29, 1991 (27)",France,"1,68 m",right,30.06.2023,100.00m,Midfielder,29.0,29/03/1991,Paris,France,France,168 cm,68 kg,6.902777,49.0,Premier League,2018-2019,0.0,29.0,6.0,4.0,0.0,4.0,1776.0,46.0,86.0,74.0,6.0,44.0,346.0,146.0,57.0,32.0,13.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3096.0,36.0,0.0,4.0,1.0
ross barkley,fc-chelsea,Central Midfield,"Dec 5, 1993 (24)",England,"1,85 m",right,30.06.2023,30.00m,Midfielder,27.0,05/12/1993,Liverpool,England,England,189 cm,76 kg,6.892592,49.0,Premier League,2018-2019,0.0,41.0,9.0,3.0,0.0,5.0,870.0,22.0,86.0,15.0,1.0,9.0,147.0,76.0,22.0,15.0,27.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1241.0,13.0,14.0,10.0,23.0
cesc fabregas,fc-chelsea,Central Midfield,"May 4, 1987 (31)",Spain,"1,79 m",right,-,15.00m,Midfielder,33.0,04/05/1987,Vilassar de Mar,Spain,Spain,180 cm,77 kg,6.683333,49.0,Premier League,2018-2019,0.0,1.0,0.0,0.0,0.0,0.0,167.0,3.0,85.0,6.0,1.0,1.0,23.0,11.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,175.0,1.0,5.0,0.0,14.0
eden hazard,fc-chelsea,Left Winger,"Jan 7, 1991 (27)",Belgium,"1,75 m",both,30.06.2020,150.00m,Attacker,29.0,07/01/1991,La Louviere,Belgium,Belgium,175 cm,74 kg,7.856756,49.0,Premier League,2018-2019,0.0,93.0,43.0,16.0,0.0,15.0,1534.0,98.0,83.0,14.0,0.0,13.0,481.0,275.0,205.0,138.0,104.0,12.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,37.0,2926.0,32.0,5.0,8.0,5.0
callum hudson-odoi,fc-chelsea,Left Winger,"Nov 7, 2000 (17)",England,"1,77 m",right,30.06.2024,35.00m,Attacker,20.0,07/11/2000,,England,England,182 cm,76 kg,6.95,49.0,Premier League,2018-2019,0.0,6.0,3.0,0.0,0.0,1.0,178.0,9.0,83.0,8.0,0.0,3.0,45.0,28.0,17.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,391.0,4.0,6.0,4.0,9.0
pedro,fc-chelsea,Right Winger,"Jul 28, 1987 (30)",Spain,"1,67 m",both,31.08.2020,20.00m,Attacker,33.0,28/07/1987,Santa Cruz de Tenerife,Spain,Spain,169 cm,65 kg,7.238709,49.0,Premier League,2018-2019,0.0,57.0,25.0,8.0,0.0,2.0,922.0,30.0,86.0,27.0,2.0,18.0,209.0,105.0,59.0,44.0,26.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1780.0,21.0,10.0,12.0,12.0
gonzalo higuain,fc-chelsea,Centre-Forward,"Dec 10, 1987 (30)",Argentina,"1,84 m",right,-,35.00m,Attacker,33.0,10/12/1987,Brest,France,Argentina,186 cm,89 kg,6.964285,49.0,Premier League,2018-2019,0.0,46.0,15.0,5.0,0.0,0.0,244.0,15.0,76.0,10.0,0.0,1.0,88.0,28.0,21.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1092.0,13.0,1.0,8.0,2.0
tammy abraham,fc-chelsea,Centre-Forward,"Oct 2, 1997 (20)",England,"1,91 m",right,30.06.2022,20.00m,Attacker,23.0,02/10/1997,London,England,England,190 cm,80 kg,,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willy caballero,fc-chelsea,Goalkeeper,"Sep 28, 1981 (36)",Argentina,"1,86 m",right,30.06.2021,1.00m,Goalkeeper,39.0,28/09/1981,Entre Rios,Argentina,Argentina,186 cm,81 kg,7.1,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,180.0,2.0,0.0,0.0,36.0
antonio rudiger,fc-chelsea,Centre-Back,"Mar 3, 1993 (25)",Germany,"1,90 m",right,30.06.2022,50.00m,Defender,27.0,03/03/1993,Berlin,Germany,Germany,190 cm,85 kg,6.951515,49.0,Premier League,2018-2019,0.0,27.0,6.0,1.0,0.0,0.0,2321.0,8.0,90.0,34.0,8.0,32.0,255.0,134.0,5.0,4.0,15.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2874.0,33.0,0.0,3.0,2.0
ethan ampadu,fc-chelsea,Centre-Back,"Sep 14, 2000 (17)",Wales,"1,82 m",right,30.06.2023,10.00m,Defender,20.0,14/09/2000,Exeter,England,Wales,183 cm,78 kg,,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
marc guehi,fc-chelsea,Centre-Back,"Jul 13, 2000 (17)",England,"1,82 m",right,-,-,Defender,20.0,13/07/2000,Abidjan,Cote d'Ivoire,England,182 cm,82 kg,,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
emerson,fc-chelsea,Left-Back,"Aug 3, 1994 (23)",Italy,"1,75 m",left,30.06.2022,15.00m,Defender,26.0,03/08/1994,Santos,Brazil,Italy,176 cm,63 kg,6.75,49.0,Premier League,2018-2019,0.0,5.0,1.0,0.0,0.0,0.0,392.0,5.0,85.0,14.0,1.0,8.0,69.0,35.0,14.0,10.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,660.0,7.0,3.0,0.0,9.0
cesar azpilicueta,fc-chelsea,Right-Back,"Aug 28, 1989 (28)",Spain,"1,78 m",right,30.06.2022,35.00m,Defender,31.0,28/08/1989,Pamplona,Spain,Spain,178 cm,76 kg,7.1526309999999995,49.0,Premier League,2018-2019,38.0,17.0,7.0,1.0,0.0,5.0,2160.0,27.0,86.0,105.0,16.0,43.0,336.0,199.0,22.0,10.0,16.0,39.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,38.0,3403.0,38.0,0.0,1.0,0.0
jorginho,fc-chelsea,Defensive Midfield,"Dec 20, 1991 (26)",Italy,"1,80 m",right,30.06.2023,65.00m,Midfielder,29.0,20/12/1991,Imbituba,Brazil,Italy,180 cm,65 kg,7.0432429999999995,49.0,Premier League,2018-2019,0.0,19.0,7.0,2.0,0.0,0.0,2782.0,31.0,87.0,76.0,7.0,63.0,272.0,125.0,27.0,15.0,22.0,33.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,3165.0,37.0,0.0,9.0,1.0
mateo kovacic,fc-chelsea,Central Midfield,"May 6, 1994 (24)",Croatia,"1,77 m",right,-,35.00m,Midfielder,26.0,06/05/1994,Linz,Austria,Croatia,178 cm,78 kg,6.82258,49.0,Premier League,2018-2019,0.0,28.0,4.0,0.0,0.0,2.0,1351.0,25.0,92.0,45.0,2.0,8.0,234.0,130.0,55.0,42.0,33.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1743.0,21.0,11.0,19.0,15.0
ruben loftus-cheek,fc-chelsea,Central Midfield,"Jan 23, 1996 (22)",England,"1,91 m",right,30.06.2024,30.00m,Midfielder,24.0,23/01/1996,London,England,England,191 cm,88 kg,6.904166,49.0,Premier League,2018-2019,0.0,28.0,8.0,6.0,0.0,2.0,536.0,17.0,83.0,18.0,4.0,11.0,188.0,103.0,64.0,41.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,983.0,6.0,18.0,3.0,20.0
danny drinkwater,fc-chelsea,Central Midfield,"Mar 5, 1990 (28)",England,"1,77 m",right,30.06.2022,8.00m,Midfielder,30.0,05/03/1990,Manchester,England,England,178 cm,79 kg,,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
victor moses,fc-chelsea,Right Midfield,"Dec 12, 1990 (27)",Nigeria,"1,77 m",right,30.06.2021,11.00m,Midfielder,30.0,12/12/1990,Kaduna,Nigeria,Nigeria,177 cm,79 kg,6.3,49.0,Premier League,2018-2019,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,83.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,2.0,0.0,4.0
willian,fc-chelsea,Right Winger,"Aug 9, 1988 (29)",Brazil,"1,75 m",right,31.08.2020,40.00m,Attacker,32.0,09/08/1988,Ribeirao Pires,Brazil,Brazil,175 cm,77 kg,7.334375,49.0,Premier League,2018-2019,0.0,62.0,22.0,3.0,0.0,6.0,1054.0,81.0,85.0,35.0,1.0,13.0,226.0,116.0,62.0,40.0,31.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,2108.0,26.0,6.0,17.0,11.0
alvaro morata,fc-chelsea,Centre-Forward,"Oct 23, 1992 (25)",Spain,"1,87 m",right,30.06.2022,50.00m,Attacker,28.0,23/10/1992,Madrid,Spain,Spain,190 cm,84 kg,6.75,49.0,Premier League,2018-2019,0.0,35.0,16.0,5.0,0.0,0.0,176.0,7.0,74.0,8.0,1.0,0.0,128.0,48.0,13.0,6.0,16.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,943.0,11.0,5.0,7.0,6.0
olivier giroud,fc-chelsea,Centre-Forward,"Sep 30, 1986 (31)",France,"1,93 m",left,30.06.2021,15.00m,Attacker,34.0,30/09/1986,Chambery,France,France,192 cm,93 kg,6.808,49.0,Premier League,2018-2019,0.0,32.0,10.0,2.0,0.0,4.0,178.0,18.0,65.0,3.0,1.0,3.0,91.0,48.0,5.0,2.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,832.0,7.0,20.0,5.0,29.0
